"filename", "language", "JSON with Comments", "MS SQL", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\1234\Desktop\mio-beauty-shop\src\proxy.ts", "TypeScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 23, 119
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\apply-schema-now.sql", "MS SQL", 0, 349, 0, 0, 0, 0, 0, 0, 83, 93, 525
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\migrations\20260610000000_add_banner_text_fields.sql", "MS SQL", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\migrations\20260610001000_add_bilingual_fields.sql", "MS SQL", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\migrations\20260611000000_create_video_highlights.sql", "MS SQL", 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\migrations\20260612000000_admin_security_rls.sql", "MS SQL", 0, 225, 0, 0, 0, 0, 0, 0, 0, 13, 238
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\migrations\20260612001000_phase2_commerce.sql", "MS SQL", 0, 147, 0, 0, 0, 0, 0, 0, 0, 14, 161
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\migrations\20260612002000_enterprise_security_hardening.sql", "MS SQL", 0, 80, 0, 0, 0, 0, 0, 0, 0, 13, 93
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\migrations\20260612003000_public_shop_admin_lockdown.sql", "MS SQL", 0, 65, 0, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\migrations\20260612004000_product_images_schema.sql", "MS SQL", 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\1234\Desktop\mio-beauty-shop\supabase\migrations\20260612005000_add_product_usage_ingredients.sql", "MS SQL", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\1234\Desktop\mio-beauty-shop\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 34, 1177, 3207, 9117, 36, 66, 20, 7843, 164, 1572, 23236
